,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Directors,Genres,Country,Language,Runtime
14088,14089,One Heart: The A.R. Rahman Concert Film,2017,,8.7,,1,0,0,0,"Deepak Gattani,Ym Movies","Documentary,Music",India,,87
12834,12835,RWBY: Volume 3,2016,13,8.7,,0,0,1,0,"Kerry Shawcross,Gray G. Haddock,Miles Luna","Animation,Action,Drama,Fantasy,Sci-Fi,Thriller",,,173
9699,9700,Sleeping Giant: An Indian Football Story,2013,13,8.7,,0,0,1,0,Daniel Glynn,"Documentary,History,Sport","India,United Kingdom",English,53
11694,11695,Shadow Nation,2015,,8.7,,0,0,1,0,"George Lynch,Mark McLaughlin","Documentary,History",United States,English,67
4934,4935,The Boy Whose Skin Fell Off,2004,,8.7,,0,0,1,0,Patrick Collerton,Documentary,United Kingdom,English,50
3568,3569,George Carlin: Back in Town,1996,,8.7,,0,0,1,0,Rocco Urbisci,"Documentary,Comedy",United States,English,60
2332,2333,Star Wars: The Empire Strikes Back,1980,7,8.7,94,0,0,0,1,Irvin Kershner,"Action,Adventure,Fantasy,Sci-Fi",United States,English,124
11252,11253,Draw Hard,2015,,8.7,,0,0,1,0,Jon Nix,"Documentary,Short",United States,English,20
3683,3684,Fleetwood Mac: The Dance,1997,,8.7,,0,0,1,0,Bruce Gowers,"Documentary,Music",United States,English,90
13423,13424,Black Jack Pershing: Love and War,2017,,8.7,,0,0,1,0,Bernard McCoy,"Documentary,Biography,History,War",United States,English,57
11259,11260,Eh Janam Tumhare Lekhe,2015,,8.7,,1,0,0,0,Harjit Singh,Biography,India,Punjabi,135
4015,4016,The Matrix,1999,18,8.7,87,1,0,0,0,"Lana Wachowski,Lilly Wachowski","Action,Sci-Fi",United States,English,136
11229,11230,Devo: Hardcore Live!,2015,13,8.7,,0,0,1,0,Keirda Bahruth,Documentary,United States,English,85
15541,15542,Second Chance By Betrayal,2018,,8.7,,0,0,1,0,Terrence Weasel Smith,Drama,United States,English,
3063,3064,GoodFellas,1990,18,8.7,96,0,1,0,0,Martin Scorsese,"Biography,Crime,Drama",United States,"English,Italian",146
6838,6839,The 25th Anniversary Rock and Roll Hall of Fame Concerts,2009,,8.7,,0,0,1,0,Joel Gallen,Music,United States,English,255
2824,2825,Nayakan,1987,,8.7,,0,0,1,0,Mani Ratnam,"Crime,Drama",India,Tamil,145
5797,5798,Louis C.K.: Shameless,2007,18,8.6,,0,0,1,0,Steven J. Santos,Comedy,United States,English,56
7353,7354,Slednecks 13,2010,7,8.6,,0,0,1,0,Jason Moriarty,Sport,United States,English,50
