id,name,price,url,logo
1,Netflix,8.99,https://www.netflix.com/,netflix.svg
2,Hulu,5.99,https://www.hulu.com/,hulu.svg
3,Prime Video,12.99,https://www.primevideo.com/,amazon_prime.svg
4,Disney +,6.99,https://www.disneyplus.com/,disney_plus.svg
