id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
1268,Geronimo Stilton,2009,0,6.7,0,1,0,1,0
1269,Getting On,2009,16,8.1,0,0,1,0,0
1270,Glee,2009,16,6.7,71,1,0,0,0
1271,"Glenn Martin, DDS",2009,16,4.1,36,0,0,1,0
1272,Go Girls,2009,18,7,0,0,0,1,0
1273,Great Indian Wars,2009,,,0,0,0,1,0
1274,Harper's Island,2009,16,7.5,64,0,0,1,0
1275,Hetalia,2009,18,7.4,0,0,1,0,0
1276,Hoarders,2009,7,6.4,0,1,1,0,0
1277,Home to Flip,2009,,,0,0,0,1,0
1278,Horrible Histories,2009,7,8.8,0,0,1,1,0
1279,Hung,2009,18,7.1,71,0,0,1,0
1280,Huntik: Secrets & Seekers,2009,7,8.3,0,1,0,0,0
1281,Ice Pilots NWT,2009,7,7.5,0,0,0,1,0
1282,Infieles,2009,,,0,0,0,1,0
1283,Iris,2009,,7.9,0,1,0,0,0
1284,Iron Man: Armored Adventures,2009,7,6.5,0,0,0,0,1
1285,James May's Toy Stories,2009,7,8.1,0,0,0,1,0
1286,Jersey Shore,2009,16,3.6,0,0,1,0,0
1287,JONAS,2009,,4.6,0,0,0,0,1
1288,Kämpfer,2009,18,6.2,0,0,1,0,0
1289,Kimi ni Todoke: From Me to You,2009,7,7.8,0,0,1,0,0
1290,K-ON!,2009,16,7.6,0,1,1,0,0
1291,Land Girls,2009,16,7,0,1,0,0,0
1292,Last Chance to See,2009,7,8.3,0,1,0,0,0
1293,Lie to Me,2009,16,8,78,0,1,0,0
1294,Life on Location,2009,0,7.5,0,1,0,0,0
1295,Love Tribulations,2009,,,0,0,0,1,0
1296,Make It or Break It,2009,16,7.5,79,0,1,0,0
1297,Masha and the Bear,2009,0,7.6,0,1,0,0,0
1298,Melrose Place,2009,16,6,60,0,1,0,0
1299,Miami Swat,2009,,7.5,0,0,0,1,0
1300,Mickey's Farm,2009,,,0,0,0,1,0
1301,Miranda,2009,7,8.1,0,0,1,0,0
1302,Misfits,2009,18,8.2,92,0,1,0,0
1303,Modern Family,2009,16,8.4,86,0,1,0,0
1304,Monogatari,2009,16,8,0,0,1,0,0
1305,Monty Python: Almost the Truth (The Lawyer's Cut),2009,7,8.1,0,1,0,0,0
1306,Moving On,2009,,7.3,0,1,0,1,0
1307,New York Goes to Work,2009,,4.9,0,0,1,1,0
1308,Nostradamus Effect,2009,,5.1,0,0,1,0,0
1309,Nurse Jackie,2009,18,7.7,81,1,0,0,0
1310,One-Eyed Horse: The Series,2009,,3.6,0,0,0,1,0
1311,Paradox,2009,16,7.1,0,0,1,1,0
1312,Parks and Recreation,2009,16,8.6,93,1,1,1,0
1313,Pawn Stars,2009,7,7.2,0,0,1,0,0
1314,Rampage: Killing Without Reason,2009,,,0,0,0,1,0
1315,Rescue: Special Ops,2009,,7.4,0,0,0,1,0
1316,River Monsters,2009,7,8.2,0,0,1,1,0
1317,Rivers of Our Time,2009,,,0,0,0,1,0
1318,RuPaul's Drag Race,2009,16,8.5,83,0,1,1,0
1319,Samurai Harem,2009,18,5.9,0,0,1,0,0
1320,Science And Islam,2009,,8,0,0,0,1,0
1321,Shark Tank,2009,7,7.6,0,0,1,0,0
1322,Sonny with a Chance,2009,0,6.1,0,0,0,0,1
1323,Southland,2009,16,8.4,87,0,1,0,0
1324,Special Agent Oso,2009,0,5.1,0,1,0,0,0
1325,Stargate Universe,2009,16,7.6,70,0,1,1,0
1326,Starhyke,2009,,3.8,0,0,0,1,0
1327,Steven Seagal: Lawman,2009,16,6.2,0,0,0,1,0
1328,Survive This,2009,7,6.6,0,0,0,1,0
1329,Tamra Island,2009,16,7.5,0,1,0,0,0
1330,Tangle,2009,,7.7,0,0,0,1,0
1331,Tanks aren't afraid of mud,2009,,,0,0,0,1,0
1332,Teen Mom OG,2009,7,3.6,0,0,0,1,0
1333,The Annoying Orange,2009,7,,0,0,0,1,0
1334,The Big Flip,2009,,,0,0,0,1,0
1335,The Cleveland Show,2009,16,5.5,0,1,1,0,0
1336,The Dating Guy,2009,18,3.4,0,0,1,0,0
1337,The Garfield Show,2009,0,5.3,0,1,0,1,0
1338,The Good Wife,2009,16,8.3,94,1,1,1,0
1339,The Last Nazis,2009,7,6.6,0,1,0,0,0
1340,The League,2009,18,8.2,81,0,1,0,0
1341,The Little Couple,2009,0,6.8,0,0,1,0,0
1342,The Middle,2009,7,7.5,0,0,1,0,0
1343,The National Parks: America's Best Idea,2009,16,8.6,0,0,0,1,0
1344,The Penguins of Madagascar,2009,7,7.6,0,0,1,0,0
1345,The Queen,2009,,7.2,0,0,0,1,0
1346,The Real Housewives of New Jersey,2009,16,4,0,0,1,0,0
1347,The Super Hero Squad Show,2009,7,6.1,50,0,0,0,1
1348,The Vampire Diaries,2009,7,7.7,85,1,0,0,0
1349,Time Team America,2009,0,6.5,0,0,0,1,0
1350,Timmy Time,2009,0,7,0,0,0,1,0
1351,Toddlers & Tiaras,2009,7,1.8,0,0,1,1,0
1352,Total Drama Action,2009,7,,0,1,0,0,0
1353,Total Wipeout,2009,,6,0,0,1,1,0
1354,Un village français,2009,,8.3,0,0,1,1,0
1355,Valemont,2009,7,5.3,0,0,0,1,0
1356,Vinnie Jones' Toughest Cops,2009,,7,0,1,0,1,0
1357,Voice,2009,,7.4,0,1,0,0,0
1358,White Collar,2009,16,8.2,96,0,1,0,0
1359,Whitechapel,2009,7,7.9,75,0,1,0,0
1360,Wild Roses,2009,,6.9,0,0,0,1,0
1361,World War II In HD Colour,2009,7,8.7,0,1,0,0,0
1362,WWE Superstars,2009,7,5.8,0,0,1,0,0
1363,WWII in HD,2009,18,8.7,0,1,0,0,0
1364,Zoo Babies,2009,,,0,0,0,1,0
1365,18 to Life,2010,,6,20,0,0,1,0
1366,A Man Called God,2010,,5.8,0,1,0,0,0
1367,ABC Monsters,2010,0,,0,0,1,0,0
1368,ABC News Specials,2010,,6,0,0,1,0,0
1369,Adventure Time,2010,7,8.6,100,0,1,0,0
1370,Aerial Adventures,2010,,,0,0,0,1,0
1371,Alguien Te Mira,2010,7,7.4,0,0,1,0,0
1372,All About Love,2010,,6.3,0,1,0,0,0
1373,Amagami SS,2010,7,6.8,0,0,1,0,0
1374,American Pickers,2010,7,7,0,0,1,0,0
1375,Ancient Aliens,2010,7,7.3,0,1,1,1,0
1376,Angel Beats!,2010,16,7.7,0,1,0,0,0
1377,Asias Monarchies,2010,,,0,0,0,1,0
1378,Aurora,2010,,,0,0,1,0,0
1379,Bad Guy,2010,16,7.8,0,0,0,1,0
1380,Baka and Test: Summon the Beasts,2010,7,7.4,0,0,1,0,0
1381,Bakuman,2010,16,8,0,0,1,0,0
1382,Behind the Scenes,2010,,,0,0,0,1,0
1383,Best Laid Plans,2010,,,0,0,0,1,0
1384,Bloomberg Game Changers,2010,,7.8,0,0,1,0,0
1385,Blue Bloods,2010,16,7.5,91,0,1,1,0
1386,Blue Mountain State,2010,18,8.3,0,1,0,0,0
1387,Boardwalk Empire,2010,18,8.5,92,0,0,1,0
1388,Chloe's Closet,2010,0,6.7,0,0,1,1,0
1389,Circus,2010,7,8.3,0,0,0,1,0
1390,Citizens of the World,2010,,,0,0,0,1,0
1391,CNBC Titans,2010,0,8.2,0,0,1,0,0
1392,Conan,2010,16,8.1,0,1,0,0,0
1393,Confessions: Animal Hoarding,2010,,7,0,0,0,1,0
1394,Countdown to UFC,2010,,8.3,0,0,1,0,0
1395,Crime Inc.,2010,,6.5,0,0,1,1,0
1396,Cruel Love,2010,7,6.6,0,0,1,0,0
1397,Cupcake Wars,2010,0,5.8,0,0,1,0,0
1398,Тобот,2010,,6.2,0,1,0,1,0
1399,Dance Academy,2010,16,8.1,0,0,0,1,0
1400,Days We Stared at the Sun,2010,16,7.9,0,1,0,0,0
1401,Deadliest Journeys,2010,7,7.9,0,0,0,1,0
1402,Decoding The Ancients,2010,,,0,0,0,1,0
1403,Detroit 1-8-7,2010,16,7.6,83,0,1,0,0
1404,Dinosaur Hunters,2010,,,0,0,0,1,0
1405,Disappeared,2010,16,8,0,0,1,0,0
1406,Downton Abbey,2010,16,8.7,0,0,0,1,0
1407,"Drugs, Inc.",2010,16,7.8,0,1,1,0,0
1408,Dual Survival,2010,16,7.5,0,0,1,0,0
1409,Durarara!!,2010,16,7.9,0,1,1,0,0
1410,Easy Living,2010,,,0,0,0,1,0
1411,El Cartel 2,2010,16,6.8,0,1,0,0,0
1412,El Dorado,2010,,4.7,0,0,0,1,0
1413,Empires Of Stone,2010,,,0,0,0,1,0
1414,Fish Hooks,2010,0,4.6,0,0,0,0,1
1415,Fred Dinenage Murder Casebook,2010,,,0,0,0,1,0
1416,Funny or Die Presents,2010,18,5.6,100,0,0,1,0
1417,Ghost Cases,2010,,5.2,0,0,0,1,0
1418,Girl/Girl Scene,2010,18,5.4,0,0,0,1,0
1419,God's Quiz,2010,,7.3,0,1,0,0,0
1420,Going Postal,2010,,7.8,0,0,0,1,0
1421,Good Luck Charlie,2010,0,7,0,0,1,0,1
1422,Gordon's Great Escape,2010,,7.8,0,0,0,1,0
1423,Grand Designs Australia,2010,0,7.2,0,1,0,0,0
1424,Great British Railway Journeys,2010,0,7.9,0,0,0,1,0
1425,Great Migrations,2010,0,8.1,0,0,0,0,1
1426,Greatest Tank Battles,2010,16,7.2,0,0,0,1,0
1427,Ground Warfare,2010,,,0,0,0,1,0
1428,Hakuoki -Demon Of The Fleeting Blossom-,2010,18,7.4,0,0,1,0,0
1429,Hardliners,2010,,,0,1,0,0,0
1430,Hardy Bucks,2010,7,8.3,0,1,0,0,0
1431,Haven,2010,16,7.5,63,1,0,0,0
1432,Hawaii Five-0,2010,16,7.3,82,1,0,0,0
1433,Health Issues: Alzheimer's,2010,,,0,0,0,1,0
1434,Hero: 108,2010,0,5.5,0,0,0,1,0
1435,Highschool of the Dead,2010,18,7.2,0,0,1,0,0
1436,Him & Her,2010,16,7.8,0,0,1,0,0
1437,Hitler's bodyguard,2010,7,7.6,0,0,0,1,0
1438,Hoarding: Buried Alive,2010,7,6.6,0,0,0,1,0
1439,HooplaKidz,2010,,6.9,0,1,0,0,0
1440,How the Universe Works,2010,7,9,0,0,1,1,0
1441,How to Make It in America,2010,18,7.9,66,0,0,1,0
1442,Inherited Marriage,2010,,,0,0,0,1,0
1443,Jack Taylor,2010,18,7.6,0,1,0,0,0
1444,James May's Man Lab,2010,,7.8,0,0,1,1,0
1445,JourneyQuest,2010,,7.9,0,0,0,1,0
1446,Justified,2010,18,8.6,97,0,1,0,0
1447,Keeping up with the Joneses,2010,,8.5,0,1,0,0,0
1448,Kids React,2010,,5,0,0,0,1,0
1449,Life on Fire,2010,,8.3,0,0,0,1,0
1450,Limmy's Show,2010,0,8.3,0,1,0,0,0
1451,Lip Service,2010,18,7.4,0,0,1,0,0
1452,Lost Girl,2010,16,7.7,65,1,0,0,0
1453,Lots & Lots of Fire Trucks,2010,,,0,0,0,1,0
1454,Love and Punishment,2010,,5.8,0,1,0,0,0
1455,Luke Gamble's Vet Adventures,2010,,,0,0,1,1,0
1456,Luther,2010,16,8.5,88,0,0,1,0
1457,Mahi Way,2010,,7.8,0,1,0,0,0
1458,Maid Sama!,2010,16,8,0,1,1,0,0
1459,Maison Close,2010,18,6.7,0,0,1,0,0
1460,Mario Lopez: Saved By the Baby,2010,,5.2,0,0,0,1,0
1461,MasterChef,2010,16,7.3,0,0,1,0,0
1462,MayDay: Air Disaster Investigations,2010,,,0,0,0,1,0
1463,Mega Builders,2010,,7,0,1,0,0,0
1464,Melissa & Joey,2010,7,7,0,0,1,0,0
1465,Minute to Win It,2010,7,5.1,0,1,0,0,0
1466,Money Hungry,2010,16,6.9,0,0,0,1,0
1467,Mother Goose Club,2010,,7.4,0,1,0,1,0
1468,My Little Pony: Friendship Is Magic,2010,7,7.6,0,1,1,0,0
1469,My Strange Addiction,2010,16,5.7,0,0,1,0,0
1470,Mysteries at the Museum,2010,7,8.1,0,0,1,0,0
1471,Mystery Files,2010,0,7,0,0,0,1,0
1472,Next Great Baker,2010,16,5.9,0,0,1,0,0
1473,Nura: Rise of the Yokai Clan,2010,,7.6,0,1,1,0,0
1474,Oddities,2010,7,8,0,0,0,1,0
1475,Offspring,2010,16,8.2,0,1,1,0,0
1476,Oreimo,2010,16,6.5,0,0,1,0,0
1477,Originalos,2010,,6.8,0,0,0,1,0
1478,Oscar's Oasis,2010,,7.5,0,1,0,0,0
1479,OUT: Face to Face,2010,,,0,0,1,0,0
1480,Outsourced,2010,16,7.5,20,0,1,0,0
1481,Parenthood,2010,7,8.2,88,0,1,0,0
1482,Planet Sheen,2010,7,3,0,0,1,0,0
1483,Polar Bear: Spy on the Ice,2010,,,0,1,0,0,0
1484,Police Women,2010,,,0,0,0,1,0
1485,Popcorn With Peter Travers,2010,,,0,0,1,0,0
1486,Pretty Little Liars,2010,16,7.4,81,1,1,0,0
1487,Prisoners of War,2010,,8.4,100,0,1,0,0
1488,Psychic Detective Yakumo,2010,16,6.7,0,0,1,0,0
1489,Puppy in My Pocket,2010,,5.9,0,0,0,1,0
1490,R. L. Stine's The Haunting Hour,2010,7,8,0,0,0,1,0
1491,Railway Roundup,2010,,,0,0,0,1,0
1492,Raising Hope,2010,16,8,96,0,1,0,0
1493,Rake,2010,16,8.6,100,1,1,1,0
1494,Regular Show,2010,7,8.4,0,0,1,0,0
1495,Republic of Doyle,2010,16,7.2,0,1,0,1,0
1496,Rev.,2010,16,7.9,0,0,1,0,0
1497,Rishta.com,2010,0,8.5,0,1,0,0,0
1498,Rizzoli & Isles,2010,16,7.6,72,0,1,0,0
1499,RuPaul's Drag Race: Untucked,2010,16,7.9,0,0,1,0,0
1500,Samurai Girls,2010,18,6.6,0,0,0,1,0
1501,SciGirls,2010,0,7.2,0,0,0,1,0
1502,Scooby-Doo! Mystery Incorporated,2010,7,8,0,1,0,0,0
1503,Secrets of Your Mind,2010,,,0,0,1,0,0
1504,"Sesame Street: 3,2,1 Let's Go",2010,,,0,0,0,1,0
1505,Shake It Up,2010,0,4.8,0,0,0,0,1
1506,Sherlock,2010,16,9.1,78,1,0,0,0
1507,Shiki,2010,18,7.7,0,0,1,0,0
1508,Sister Wives,2010,16,4.3,0,0,1,0,0
1509,Snowdonia 1890,2010,,,0,0,0,1,0
1510,Stacey David's GearZ,2010,0,8.8,0,0,0,1,0
1511,Storage Wars,2010,7,6.4,0,0,1,1,0
1512,Strawberry Shortcake's Berry Bitty Adventures,2010,0,6.1,0,1,0,0,0
1513,Strike Back,2010,18,8.2,0,0,0,1,0
1514,Swamp People,2010,7,6.3,0,0,1,1,0
1515,Sym-Bionic Titan,2010,7,8.1,0,1,0,0,0
1516,T.U.F.F. Puppy,2010,7,5.6,0,0,1,0,0
1517,Tales of Tatonka,2010,,5.9,0,0,0,1,0
1518,Tayo the Little Bus,2010,,5.5,0,1,1,1,0
1519,Team Umizoomi,2010,0,6,0,0,0,1,0
1520,Teresa,2010,7,7.7,0,1,0,0,0
1521,Terriers,2010,18,8.4,92,0,1,0,0
1522,The Avengers: Earth's Mightiest Heroes,2010,7,8.3,0,0,0,0,1
1523,The Bay,2010,,9.2,0,0,0,1,0
1524,The Bear Whisperer,2010,,,0,0,0,1,0
1525,The Bionic Vet,2010,,8.7,0,1,0,0,0
1526,The Booth at the End,2010,16,8.3,0,0,0,1,0
1527,The Cat in the Hat Knows a Lot About That!,2010,0,6.5,0,1,0,1,0
1528,The Cupcake Girls,2010,,,0,0,0,1,0
1529,The Event,2010,16,7,67,0,1,0,0
1530,The Fierce Wife,2010,16,6.7,0,1,0,0,0
1531,The Glades,2010,16,7.5,59,0,1,0,0
1532,The Great British Bake Off,2010,7,8.6,0,1,0,0,0
1533,The Great Food Truck Race,2010,0,6.6,0,0,1,0,0
1534,The Hive,2010,0,6.8,0,0,0,1,0
1535,The Jaime Maussan Show,2010,,4.9,0,1,0,0,0
1536,The Octonauts,2010,0,7.4,0,1,0,0,0
1537,The Only Way Is Essex,2010,18,3.1,0,0,1,0,0
1538,The Pacific,2010,18,8.3,91,0,0,1,0
1539,The Qwaser of Stigmata,2010,18,5.5,0,0,1,0,0
1540,The Real Housewives of Beverly Hills,2010,16,4.8,0,0,1,0,0
1541,The Restoration Man,2010,,7.8,0,0,0,1,0
1542,The Silence,2010,,7.3,0,0,0,1,0
1543,The Slave Hunters,2010,,8.8,0,0,0,1,0
1544,The Suspects: True Australian Thrillers,2010,16,7.9,0,0,0,1,0
1545,The Underdogs,2010,0,7.3,0,0,0,1,0
1546,The Very Best Of Kristen Bell,2010,,,0,0,0,1,0
1547,The Walking Dead,2010,18,8.2,81,1,0,0,0
1548,This Is England '86,2010,18,8.3,0,0,0,1,0
1549,Top Gear,2010,7,5.3,0,0,1,0,0
1550,Top Shot,2010,7,7.6,0,0,0,1,0
1551,Totally Real Movies Coming Soon,2010,,,0,0,0,1,0
1552,Transformers: Prime,2010,7,7.8,0,1,0,0,0
1553,Treme,2010,18,8.2,96,0,0,1,0
1554,True Crime,2010,,6.3,0,1,0,0,0
1555,Undercover Boss,2010,7,5.8,0,0,1,0,0
1556,Unusual Suspects,2010,16,7.6,0,0,1,0,0
1557,Upstairs Downstairs,2010,7,7.4,0,0,1,0,0
1558,Vexed,2010,,7.4,0,1,0,0,0
1559,Victorious,2010,7,6.9,0,1,0,0,0
1560,What's Up In Space: The Solar System For Kids Series,2010,,,0,0,0,1,0
1561,Where is Elisa?,2010,,7.3,0,0,1,0,0
1562,Where were you? Events that Changed the World,2010,,,0,0,0,1,0
1563,Whites,2010,18,7.6,0,0,0,1,0
1564,Who The (Bleep) Did I Marry?,2010,7,6.6,0,0,1,0,0
1565,Wooly,2010,,,0,0,1,0,0
1566,Worst Cooks in America,2010,0,6.4,0,0,1,0,0
1567,WWE NXT,2010,7,7.7,0,0,1,0,0
1568,A Day in the Life,2011,,5.7,0,0,1,0,0
1569,A Gifted Man,2011,7,7,66,0,0,1,0
1570,A Thousand Days' Promise,2011,16,8.1,0,1,0,0,0
1571,A Year to Remember,2011,,,0,0,0,1,0
1572,A.N.T. Farm,2011,0,5,0,0,1,0,0
1573,ABC Primetime Nightline,2011,,,0,0,1,0,0
1574,Africa's Deadliest,2011,,6.9,0,1,0,0,0
1575,Alaska: The Last Frontier,2011,16,7.7,0,0,1,0,0
1576,Albert & Junior,2011,,,0,0,0,1,0
1577,All Men are Brothers,2011,,,0,0,0,1,0
1578,Almost Naked Animals,2011,7,3,0,0,0,1,0
1579,Amar y Temer,2011,,,0,0,1,0,0
1580,American Horror Story,2011,18,8,0,1,1,1,0
1581,Angry Boys,2011,18,7.7,54,0,0,1,0
1582,Anna's Wild Life,2011,,8.4,0,0,0,1,0
1583,anohana: The Flower We Saw That Day,2011,16,8.2,0,1,0,0,0
1584,Appropriate Adult,2011,18,7.5,0,0,0,1,0
1585,Aria the Scarlet Ammo,2011,16,6.8,0,0,1,0,0
1586,Austin & Ally,2011,0,5.9,0,0,0,0,1
1587,Awkward.,2011,16,7.5,78,0,1,1,0
1588,Baby u,2011,,,0,0,0,1,0
1589,Basic Colors with BabyFirst,2011,,,0,0,0,1,0
1590,Basketball Wives LA,2011,7,4.2,0,0,1,0,0
1591,Bath & Bed,2011,,,0,0,1,0,0
1592,Becoming Human,2011,16,7.3,0,0,0,1,0
1593,Bedlam,2011,,6.6,44,0,1,0,0
1594,Behind Closed Doors,2011,,7.1,0,0,1,0,0
1595,Behind the Bar,2011,,4.4,0,0,1,0,0
1596,Beyond Scared Straight,2011,18,7.3,0,0,1,0,0
1597,Bible's Buried Secrets,2011,0,5.2,0,1,0,0,0
1598,Big Bugs Band,2011,,6,0,0,1,0,0
1599,Billy Bam Bam,2011,,,0,0,1,0,0
1600,Billy on the Street,2011,16,7.7,0,1,1,0,0
1601,Birdie Buddy,2011,7,7.4,0,1,0,0,0
1602,Black in Latin America,2011,,7.6,0,0,0,1,0
1603,Black Mirror,2011,18,8.8,83,1,0,0,0
1604,Blackstone,2011,,7.3,0,1,0,0,0
1605,Blake Griffin's Internship,2011,,,0,0,0,1,0
1606,Blood-C,2011,18,6.3,0,0,1,0,0
1607,Blue Exorcist,2011,16,7.5,0,1,1,0,0
1608,Bobby Flay's Barbecue Addiction,2011,7,6.4,0,0,1,0,0
1609,Bob's Burgers,2011,16,8.1,91,0,1,0,0
1610,Body of Proof,2011,16,7.1,76,0,1,0,0
1611,Borgia,2011,18,7.8,0,1,0,0,0
1612,Boss,2011,18,8.1,81,0,0,1,0
1613,Brain Games,2011,7,8.3,0,1,0,0,1
1614,Braxton Family Values,2011,16,5.9,0,1,0,0,0
1615,Breaking In,2011,16,7.1,56,0,0,1,0
1616,Breakout Kings,2011,16,7.3,41,0,1,0,0
1617,Brooklyn Kinda Love,2011,,,0,0,0,1,0
1618,Bubble Guppies,2011,0,6.5,0,0,0,1,0
1619,Cake Walk,2011,,4.4,0,0,0,1,0
1620,Can You Even Sport?,2011,,,0,0,0,1,0
1621,Canimals,2011,0,7,0,0,0,1,0
1622,Cardfight!! Vanguard,2011,16,7.2,0,0,1,1,0
1623,Caribbean Thunder,2011,,,0,0,0,1,0
1624,Charlie & the Numbers,2011,,,0,0,1,0,0
1625,Charlie's Angels,2011,16,4.4,0,0,0,1,0
1626,Classic Cars,2011,,,0,0,0,1,0
1627,Color Inspirations: Art And Music,2011,,,0,0,0,1,0
1628,Concertino,2011,,,0,0,1,0,0
1629,Crematorium,2011,18,7.7,0,1,0,0,0
1630,Criminal Minds: Suspect Behavior,2011,16,6.3,42,0,1,1,0
1631,Cuddlies,2011,,,0,0,1,0,0
1632,Curiosity,2011,16,7.8,0,0,1,1,0
1633,Dance Moms,2011,7,4.6,0,0,1,0,0
1634,DCI Banks,2011,18,7.6,0,0,1,1,0
1635,Deals from the Dark Side,2011,,6.1,0,0,0,1,0
1636,Dish Nation,2011,7,4.2,0,0,1,0,0
1637,DNA Detectives,2011,,,0,0,0,1,0
1638,Doomsday Preppers,2011,7,6.1,0,1,0,0,0
1639,Dr. Baby,2011,,,0,0,0,1,0
1640,Draco,2011,,,0,0,1,0,0
1641,Earth From Above,2011,,,0,0,1,0,0
1642,Enlightened,2011,18,7.5,87,0,0,1,0
1643,Episodes,2011,18,7.8,80,1,0,0,0
1644,Ex-Boyfriend,2011,,7.1,0,1,0,0,0
1645,Face Off,2011,7,8.2,0,0,1,0,0
1646,Fairground Attractions,2011,,,0,1,0,0,0
1647,Fake or Fortune?,2011,,8.6,0,1,0,0,0
1648,Finding Bigfoot,2011,7,4.2,0,0,0,1,0
1649,Food Fetish,2011,,,0,0,1,0,0
1650,Four of a Kind,2011,,5.2,0,0,1,0,0
1651,Fresh Meat,2011,18,7.9,0,0,0,1,0
1652,Friday Night Dinner,2011,18,8.1,0,0,1,0,0
1653,Frozen Planet,2011,0,9,0,1,0,0,0
1654,Go Back To Where You Came From,2011,18,8.1,0,1,0,0,0
1655,Gold Rush,2011,7,7.3,0,0,1,0,0
1656,Grand Hotel,2011,7,8.4,0,1,0,0,0
1657,Green Paradise,2011,0,9.3,0,0,0,1,0
1658,Grimm,2011,16,7.8,89,0,0,1,0
1659,Guilty Crown,2011,16,7.1,0,0,1,0,0
1660,Haganai: I Don't Have Many Friends,2011,18,7.2,0,0,1,0,0
1661,Happy Endings,2011,16,7.7,78,0,1,0,0
1662,Hart of Dixie,2011,7,7.7,81,1,0,0,0
1663,Hawaii - Inside Paradise,2011,,7,0,0,0,1,0
1664,Heartstrings,2011,16,7.2,0,0,1,0,0
1665,Hell on Wheels,2011,16,8.3,72,1,0,0,0
1666,High Risk,2011,,,0,1,0,0,0
1667,Hippa Hey,2011,,,0,0,1,0,0
1668,Homicide Hunter: Lt Joe Kenda,2011,16,8.8,0,0,1,0,0
1669,Humsafar,2011,0,9,0,1,0,0,0
1670,Hunter x Hunter,2011,16,8.9,0,1,1,0,0
1671,I Love Jenni,2011,7,8.1,0,0,1,0,0
1672,Impractical Jokers,2011,16,8.5,0,1,0,0,0
1673,Inborn Pair,2011,,6.9,0,1,0,0,0
1674,Infidelity,2011,,6.2,0,0,0,1,0
1675,Infinite Stratos,2011,18,6.7,0,0,1,0,0
1676,Inside Series,2011,,,0,0,0,1,0
1677,Inventions That Shook the World,2011,,8.2,0,0,0,1,0
1678,Is This a Zombie?,2011,16,7.1,0,0,1,0,0
1679,Islam and the West,2011,0,,0,0,0,1,0
1680,Jake and the Never Land Pirates,2011,0,5.6,0,0,0,0,1
1681,Jammers,2011,,,0,0,1,0,0
1682,Jelly Jam,2011,,,0,0,0,1,0
1683,Jessie,2011,0,5.9,0,1,0,0,1
1684,Jump Start Your Photography,2011,,,0,0,0,1,0
1685,Just Josh,2011,,,0,0,1,0,0
1686,Justin Time,2011,0,6.7,0,1,0,0,0
1687,Kenny & Goorie,2011,,,0,0,1,0,0
1688,Khotey Sikkey,2011,7,7.3,0,1,0,0,0
1689,Kickin' It,2011,0,6.3,0,0,0,0,1
1690,Killer Kids,2011,16,7,0,1,0,0,0
1691,Kung Food,2011,,,0,0,0,1,0
1692,Kung Fu Panda: Legends of Awesomeness,2011,7,6.1,0,0,1,0,0
1693,La La's Full Court Life,2011,16,6.4,0,0,0,1,0
1694,La Reina del Sur,2011,18,8.1,0,1,0,0,0
1695,La Rosa de Guadalupe,2011,,,0,1,0,0,0
1696,Laid,2011,,7.4,0,0,0,1,0
1697,Larva,2011,0,7.4,0,1,0,0,0
1698,Last Man Standing,2011,16,7.6,0,0,1,0,0
1699,LEGO City,2011,0,5.2,0,0,0,1,0
1700,Life's Too Short,2011,16,7.5,53,0,0,1,0
1701,LittleBabyBum,2011,,9,0,0,1,0,0
1702,Long Island Medium,2011,7,4.8,0,0,1,0,0
1703,Los Caballeros Las Prefieren Brutas,2011,,,0,0,1,0,0
1704,Los heroes del norte,2011,16,7.2,0,1,0,0,0
1705,Louis Theroux: Miami Mega-Jail,2011,18,7.6,0,1,0,0,0
1706,Love Your Garden,2011,,8,0,1,0,0,0
1707,Magnificent Century,2011,,6.6,0,1,0,0,0
1708,Maken-Ki! Battling Venus,2011,18,6.2,0,0,1,0,0
1709,Man Up!,2011,7,6.6,21,0,1,0,0
1710,Mary Portas: Secret Shopper,2011,,6.6,0,1,0,1,0
1711,Mayo Chiki!,2011,18,7.1,0,0,1,0,0
1712,Mildred Pierce,2011,18,7.7,80,0,0,1,0
1713,Mix Master: Final Force,2011,,,0,0,0,1,0
1714,Moby Dick,2011,18,6.2,0,0,0,1,0
1715,Monty Don's Italian Gardens,2011,,8.3,0,1,0,0,0
1716,Mr. Young,2011,0,6.1,0,1,0,0,0
1717,Mud Men,2011,7,,0,0,0,1,0
1718,My Babysitter's a Vampire,2011,7,7,0,1,0,0,0
1719,New Girl,2011,16,7.7,94,1,0,0,0
1720,Nightmare Next Door,2011,16,7.1,0,0,1,0,0
1721,Nordic Wild,2011,,,0,0,0,1,0
1722,Ocean Giants,2011,,8.2,0,1,0,0,0
1723,Ocean Mysteries with Jeff Corwin,2011,0,8.2,0,1,0,1,0
1724,Office Girls,2011,,6.6,0,1,0,0,0
1725,Once Upon a Time,2011,7,7.7,80,1,0,0,0
1726,Once upon a Time in Odessa,2011,,,0,0,0,1,0
1727,Only in America with Larry the Cable Guy,2011,16,6.4,0,0,0,1,0
1728,Open Space,2011,,,0,0,0,1,0
1729,Partners in Crime,2011,,,0,0,0,1,0
1730,Person of Interest,2011,16,8.4,0,1,0,0,0
1731,Persona 4 The Animation,2011,7,7.6,0,0,1,0,0
1732,Pim & Pimba,2011,,,0,0,1,0,0
1733,PopPixie,2011,0,5.6,0,1,0,0,0
1734,Portlandia,2011,16,7.8,94,1,0,0,0
1735,President,2011,,,0,1,0,0,0
