id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
108,Nanny and the Professor,1970,,7.1,0,0,1,0,0
109,The Mary Tyler Moore Show,1970,7,8.1,0,0,1,0,0
110,Tours of Mexico,1970,,,0,0,0,1,0
111,Alias Smith and Jones,1971,7,7.6,0,0,1,0,0
112,Lupin the Third,1971,16,7.9,0,0,1,0,0
113,The Electric Company,1971,0,8.1,0,0,1,1,0
114,El Chapulín,1972,0,8.5,0,1,0,0,0
115,Emmerdale,1972,7,4.8,0,0,0,1,0
116,M*A*S*H,1972,7,8.4,0,0,1,0,0
117,Monty Python's Fliegender Zirkus,1972,,8.2,0,1,0,0,0
118,The Bob Newhart Show,1972,0,8.1,0,0,1,0,0
119,Dusty's Trail,1973,,5.6,0,0,0,1,0
120,El Chavo,1973,,,0,1,0,0,0
121,Kojak,1973,16,7.1,0,0,1,0,0
122,Match Game,1973,16,6,0,0,1,1,0
123,Sigmund and the Sea Monsters,1973,0,7,0,0,0,1,0
124,Happy Days,1974,7,7.4,0,0,1,0,0
125,NOVA,1974,7,8.7,0,1,0,1,0
126,Swiss Family Robinson,1974,7,7,0,0,1,1,0
127,The Best of the Dean Martin Celebrity Roasts,1974,,,0,0,0,1,0
128,Good Morning America,1975,0,4.6,0,0,1,0,0
129,Moses the Lawgiver,1975,0,6,0,0,0,1,0
130,Saturday Night Live,1975,16,8.1,0,0,1,0,0
131,The Adventures of Maya the Honey Bee,1975,0,6.7,0,0,0,1,0
132,The Swiss Family Robinson,1975,,6.8,0,0,0,1,0
133,Laverne & Shirley,1976,0,6.9,0,0,1,0,0
134,The Gong Show,1976,7,7,0,0,1,0,0
135,The New Howdy Doody Show,1976,,7.1,0,0,0,1,0
136,Double Dare 76 & 77,1977,,,0,0,0,1,0
137,Inside the NFL,1977,7,6.9,0,0,1,0,0
138,20/20,1978,,6.6,0,0,1,0,0
139,ABC World News,1978,,5.8,0,0,1,0,0
140,Battlestar Galactica,1978,7,7.2,33,0,1,0,0
141,Diff'rent Strokes,1978,0,6.6,0,0,1,0,0
142,Enemy at the Door,1978,,7.8,0,0,0,1,0
143,Lillie,1978,,8,0,0,0,1,0
144,Popeye: The Continuing Adventures,1978,,,0,0,0,1,0
145,Taxi,1978,7,7.6,0,0,1,0,0
146,The Incredible Hulk,1978,7,7,0,0,1,0,0
147,The White Shadow,1978,,8,0,0,1,0,0
148,Beat the Clock,1979,,6.7,0,0,0,1,0
149,Password Plus,1979,0,7.6,0,0,0,1,0
150,Real People,1979,,7.1,0,0,0,1,0
151,Spider-Woman,1979,0,5.7,0,0,0,0,1
152,Tales of the Unexpected,1979,,7.7,0,0,0,1,0
153,The New Adventures of Flash Gordon,1979,7,7,0,0,0,1,0
154,Astro Boy,1980,0,7.3,0,0,1,1,0
155,Blockbusters,1980,,7.2,0,0,0,1,0
156,Free to Choose,1980,,9,0,0,0,1,0
157,Hammer House of Horror,1980,18,7.7,0,0,0,1,0
158,Love in a Cold Climate,1980,,7.7,0,0,0,1,0
159,"Magnum, P.I.",1980,7,7.5,0,0,0,1,0
160,Nightline,1980,7,5.6,0,0,1,0,0
161,Brideshead Revisited,1981,,8.5,0,0,0,1,0
162,Danger Mouse,1981,7,7.4,0,1,0,0,0
163,Fanny by Gaslight,1981,,6.6,0,0,0,1,0
164,Hill Street Blues,1981,16,8.1,0,0,1,0,0
165,Ninja Hattori,1981,0,6.9,0,1,0,0,0
166,Spider-Man and His Amazing Friends,1981,7,7.2,0,0,0,0,1
167,The Fall Guy,1981,7,7.1,0,0,1,0,0
168,The Greatest American Hero,1981,7,7.3,0,0,1,1,0
169,The Hitchhiker's Guide to the Galaxy,1981,7,8,67,0,1,1,0
170,This Week,1981,7,5.5,0,0,1,0,0
171,Cagney & Lacey,1982,7,6.7,0,0,0,1,0
172,Cheers,1982,7,7.8,0,1,1,1,0
173,Macross,1982,7,8.6,0,0,0,1,0
174,Nature,1982,0,8.9,0,0,0,1,0
175,Remington Steele,1982,7,7.2,0,0,1,0,0
176,St. Elsewhere,1982,7,7.8,0,0,1,0,0
177,Wild America,1982,0,8.6,0,0,0,1,0
178,Black Crows,1983,,4.4,0,1,0,0,0
179,Blackadder,1983,7,8.1,0,0,1,1,0
180,Dombey and Son,1983,,,0,0,0,1,0
181,Frontline,1983,18,8.5,0,0,0,1,0
182,Inspector Gadget,1983,7,6.8,0,1,0,0,0
183,Jane Eyre,1983,,8,0,0,0,1,0
184,Mansfield Park,1983,0,6.7,0,0,0,1,0
185,"Philip Marlowe, Private Eye",1983,,7.9,0,0,0,1,0
186,Reading Rainbow,1983,0,8.3,0,0,0,1,0
187,Taggart,1983,18,7.2,0,0,1,0,0
188,The Joy of Painting,1983,0,9.4,0,0,1,1,0
189,Wagner,1983,,7.7,0,0,0,1,0
190,Webster,1983,0,5.7,0,0,1,0,0
191,1st & Ten,1984,,6.4,0,0,0,1,0
192,Airwolf,1984,7,6.7,0,0,1,0,0
193,Allo 'Allo!,1984,7,8.3,0,1,0,0,0
194,Heathcliff,1984,7,6.6,0,0,1,0,0
195,Highway to Heaven,1984,7,6.7,0,1,0,1,0
196,Hunter,1984,7,6.8,0,0,1,0,0
197,Live at Ronnie Scott's,1984,,,0,0,0,1,0
198,Mike Hammer,1984,7,6.9,0,0,0,1,0
199,Robin of Sherwood,1984,,8.5,0,0,1,1,0
200,The Cosby Show,1984,0,7.3,0,0,0,1,0
201,Thomas & Friends,1984,0,6.6,0,0,0,1,0
202,Bleak House,1985,,7.4,0,0,1,1,0
203,Disney's Adventures of the Gummi Bears,1985,0,7.5,0,0,0,0,1
204,MacGyver,1985,7,7.7,0,0,0,1,0
205,Robotech,1985,7,8.5,0,1,0,1,0
206,The Golden Girls,1985,7,7.9,0,0,1,0,0
207,The Last Place on Earth,1985,16,8.1,0,0,0,1,0
208,The Pickwick Papers,1985,,7.1,0,0,0,1,0
209,The Ray Bradbury Theater,1985,7,7.5,0,0,0,1,0
210,A Fortunate Life,1986,7,7.9,0,0,0,1,0
211,ALF,1986,0,7.4,0,0,0,1,0
212,American Masters,1986,7,8,0,1,0,0,0
213,Card Sharks 86,1986,,,0,0,0,1,0
214,Defenders of the Earth,1986,7,7.1,0,0,0,1,0
215,Designing Women,1986,7,7,0,0,1,0,0
216,Dragon Ball,1986,16,8.5,0,0,1,0,0
217,London's Burning,1986,,7,0,0,0,1,0
218,Pee-wee's Playhouse,1986,7,8,0,1,0,0,0
219,Perfect Strangers,1986,7,7.2,0,0,1,0,0
220,Pingu,1986,0,7.4,0,0,0,1,0
221,Popples,1986,0,6.4,0,1,0,0,0
222,Saint Seiya,1986,7,8.4,0,1,0,1,0
223,Shaka Zulu,1986,,7.7,0,1,0,0,0
224,A Different World,1987,,6.9,95,0,0,1,0
225,DuckTales,1987,7,8.1,0,0,0,0,1
226,Fireman Sam,1987,0,6.2,0,0,0,1,0
227,Full House,1987,0,6.7,0,0,1,0,0
228,Hello Kitty's Furry Tale Theater,1987,0,6.2,0,0,1,0,0
229,Malgudi Days,1987,0,9.5,0,0,0,1,0
230,Married... with Children,1987,7,8,0,0,1,0,0
231,Popeye and Son,1987,0,5.7,0,0,0,1,0
232,Ramayan,1987,0,9.3,0,1,0,0,0
233,Shark Week,1987,16,8.1,0,0,1,0,0
234,Showtime at the Apollo,1987,,5.5,0,0,1,0,0
